time,signal,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,blinkStrength,
121833,0,0,0,0,0,0,0,0,0,0,0,0,
121834,0,50,41,401578,270938,19080,46232,17732,20226,16852,31644,34,
121835,0,48,21,1820558,352202,2316,42177,22038,11666,13779,20846,34,
121836,0,48,20,157496,113060,4238,20166,11141,13872,7282,33817,34,
121837,0,38,1,1134256,183295,10508,5104,8551,2482,2986,4146,34,
121838,0,47,7,506236,62155,4658,25660,20605,22725,24642,21148,34,
121839,0,54,27,178468,29068,5577,14040,2677,4384,4341,5908,34,
121840,0,51,30,102782,157810,21198,17496,24707,13094,10496,25311,34,
121841,0,64,50,65714,61746,15631,11634,7663,8930,7450,29918,34,
121842,0,60,56,649439,180980,31952,118589,81541,34697,8249,31344,34,
121843,0,60,50,613591,18038,5385,3522,4623,2896,843,7731,34,
121844,0,57,50,230524,106100,10579,15342,17456,7416,8399,30464,34,
121845,0,60,56,61241,38953,23912,23379,28219,12721,12622,21734,34,
121846,0,57,29,188385,262513,4732,11516,23715,17819,8198,17217,34,
121847,0,57,23,708805,190921,14828,26085,3707,29488,9011,20092,34,
121848,0,56,23,211343,192268,16659,24027,13426,10002,10777,22159,34,
121849,0,57,17,198384,63473,18133,13334,7717,19672,11107,13172,34,
121850,0,60,50,487983,66821,47386,27095,22225,10234,9605,19757,35,
121851,0,54,66,541239,28354,22044,2598,1922,3318,2928,4356,35,
121852,0,60,77,137307,86792,27270,24780,16516,11526,4021,17121,42,
121853,0,60,63,122102,36494,1579,4362,11252,8898,6841,15846,79,
121854,0,57,37,704637,619366,18867,41621,39600,39007,13844,9617,79,
121855,0,57,29,64266,43171,7007,18355,10758,4410,9906,7130,37,
121856,0,57,38,733966,84376,44398,45862,21319,11807,4924,31509,37,
121857,0,54,60,303634,50510,37496,11927,17506,12478,16876,15822,37,
121858,0,60,56,251935,86757,2396,4650,4527,14388,8385,21369,37,
121858,0,61,69,445329,34625,41322,42809,18092,9464,15655,20758,37,
121900,0,63,70,620668,25657,23206,17340,13126,6037,11420,10898,37,
121901,0,61,74,103112,51905,39461,10676,5632,9112,6964,17627,37,
121901,0,60,100,622899,28873,41860,29671,41338,12154,8469,13733,37,
121902,0,64,81,28488,66609,8765,17247,31681,14729,9110,11164,37,
121904,0,66,70,489825,216667,64472,49827,40810,47018,23407,15944,37,
121905,0,63,53,89421,275456,36577,16210,17907,19284,25972,19116,49,
121906,0,63,40,170759,234701,53928,27081,24929,33812,24071,11207,49,
121907,0,41,30,856074,106164,78826,33515,20642,14174,7974,8041,51,
121908,0,44,35,387378,147790,33190,11079,44935,18442,13751,21023,51,
121910,0,48,34,794165,79049,21612,6639,21960,17342,13299,11865,51,
121910,0,54,47,70148,278342,45437,7967,22230,10628,14064,21124,51,
121911,0,56,43,56115,60587,28375,20153,11727,9178,7393,12565,51,
121913,0,57,67,814495,22861,18843,44989,4334,11674,7939,13393,51,
121914,0,60,83,52311,63296,14458,23285,6821,8042,7567,15705,51,
121916,0,64,84,19414,33846,7738,33422,9436,16361,12661,18990,51,
121917,0,69,51,418538,295430,16108,48214,35021,36036,19163,43116,51,
121918,0,75,47,1201754,49796,14100,8839,18549,11526,4091,1692,36,
